text,sentiment
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",1
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,3
"We'd support HSBC leaving London, says Standard Life",2
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,3
CompaniesTesco bumps up pay for store staff,2
BP pay boss feels the heat from revolt over Dudley's Â£14 million,2
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
Shell Plans to Shed 2800 Jobs After Buying BG Group,1
"Old Mutual to split up, may list some businesses",2
"RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says",2
CompaniesKingfisher bid for Mr Bricolage runs into trouble,1
EasyJet to pass on lower fuel prices to customers,2
Tesco loses two more directors as Garfield and Tammenoms step down,1
The UK Government's Call To Sell Shares In Royal Bank Of Scotland Group plc ...,1
Credit Suisse poaches Prudential's Thiam for Asian push,2
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",2
Britain's FTSE eyes 7th straight daily rise; Wolseley lags,1
EU regulator backs approval for GSK injectable asthma drug,3
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,2
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,3
"Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo",3
Canadian Pension fund Borealis renews pursuit of Severn Trent : report,3
ITV merger reports boost Footsie stocks,3
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",2
Wolseley helps lift FTSE from losses,3
Novo Nordisk and AstraZeneca seek tonic from key drug trials,2
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",2
CommentOpening Quote: pay day moans; profits slump for Lloyds; Mars mission,1
AstraZeneca sells Caprelsa rights to Sanofi unit,3
Industry NewsWood Group wins multi-million dollar contract with BP,3
Royal Mail and workers' union agree pay deal,3
Lloyds wins right to buy bonds back early to save 1 billion pounds,3
"Britain's FTSE buoyed by Admiral, building sector gains",4
Tesco share price: Brand Guarantee comes under fire,1
"FTSE led lower by M&S, GlaxoSmithKline",1
FTSE edges up as investors cheer Kingfisher results,4
HSBC chief hit with tax-avoidance scandal,1
British government stake in Lloyds Banking Group fa,2
AstraZeneca's $727 million play to do away with chemotherapy,3
HSBC appoints business leaders to board,2
Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...,1
"Buffett's Berkshire builds Deere stake, dumps Exxon",3
BUZZ-BG Group: outperforms sector after record output,4
Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle,4
"After Barclays and Bank of America, Citigroup has blockchain in sight",3
"Industry NewsG4S makes 'positive' start to year, no new impairments",3
Morrisons helps FTSE edge higher energy shares slip,3
Old Mutual share price: Wealth unit seen as blue-chip company,4
CompaniesUnilever sales lifted by ice cream in soft economy,3
InterContinental Hotels first-quarter global room revenue lags estimates,1
"Bunzl backs 2015 view, buys more businesses",3
Bidders Abandon Auction Of Tesco Data Unit,1
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",3
Euro zone QE helps Standard Life first-quarter funds boost,3
Smith & Nephew 2015 trading profit beats expectations,3
Closely watched AstraZeneca cancer drug fails in mesothelioma,1
Glencore slumps 25 pct as debt fears grow,0
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,1
AB InBev offers SABMiller $3 billion breakup fee,2
Barclays Executive Harrison Denies Knowledge of Libor Fixing,1
Standard Life hit by 'unprecedented' number of calls on pension freedoms,1
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,3
CompaniesAB InBev signals it won't go hostile for SABMiller,2
Meggitt Acquires Cobham Advanced Composites Unit For USD200 Million,3
LSE Group names former SEC head Schapiro non-executive director,2
IAG closes in on Aer Lingus with increased offer,3
US sanctions put Gazprom-Shell alliance plans in jeopardy,1
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,3
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,2
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",3
BP agrees to $18.7B penalty for oil spill; the tricky science behind ...,0
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,3
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,2
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",3
Compass Group says positive for year ahead,4
Pearson expects to return to growth this year,3
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,4
Unilever head's resignation sparks spinoff talk,2
AstraZeneca wins US approval for longer use of blood thinner,3
BAE Systems cuts earnings target for 2015 and 370 jobs,0
Morrisons and Debenhams surprise City with Christmas bounce back,3
Whitbread to hike prices to offset 'substantial' national living wage bill,2
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",3
CompaniesCar insurer Hastings Group driving Â£180m IPO,3
GlaxoSmithKline starts hunt for successor to CEO Witty,2
National Grid's pretax profit rises 15 percent,4
"Britain's FTSE steadies, supported by Dixons Carphone",3
CRH's concrete bid for Holcim Lafarge assets,2
UK's Morrisons in talks to sell convenience stores - source,2
"HSBC keeps headquarters in London, rejects move to Hong Kong",2
Shell share price: Standard Life announce position against BG acquisition,2
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",3
Secretive Barclays deal involved Qatari clients,2
British American Tobacco first-half sales hurt by currency moves,1
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",0
Tullow Oil eyes lower earnings as output falls,1
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",1
BG Group ships first LNG From Queensland Curtis,3
Trading ExpertBROKER RECOMMENDATIONSAnalysts mostly negative on Aberdeen but some see value,1
"MarketsUBS, Goldman Sachs cut metals forecasts",1
CompaniesKingfisher bid for Mr Bricolage runs into trouble,1
CompaniesUK government lines up Â£2bn Lloyds retail share sale,1
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",3
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,4
Standard Chartered Will Close Equity Sales and Research Business,1
CompaniesNational Grid lines up sale of gas business,2
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,3
Prudential knocked after investors withdraw Â£3.9bn from M&G,0
US walrus protections hit Shell's Arctic drilling plan,1
Severn Trent Profit Offsets Interest Rate Swap Losses,2
CompaniesTullow says gas exports at key field disrupted,1
"AstraZeneca bags another cancer drug deal, this time with Inovio",3
"Tesco, Asda sales fall as march of the discounters continues-Kantar",1
"We'd support HSBC leaving London, says Standard Life",2
Severn Trent profit up as customer complaints fall,3
US dollar wipes out sales gains for SABMiller,1
"AstraZeneca digs into precision medicine with lung, heart deals",3
Lloyds Banking Group to cut 640 jobs and close 23 branches,3
London Stock Exchange Group's quarterly revenue rises 12 percent,4
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0
Dixons Carphone Profit Beats Forecast in First Year Since Merger,3
PRESS: HSBC Chairman Hints Bank May Retain UK Domicile - Tel,2
"Associated British Foods Profit Hit by Strong Sterling, Tough Sugar Business",1
Former Schroders trader sentenced to 2 years in prison,1
GSK and Novartis complete deals to reshape both drugmakers,3
Barclays Names Mike Bagguley as Chief Operating Officer of Investment Bank,2
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,1
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",2
Barclays hit with record fine as six banks settle forex scandal,0
UK Serious Fraud Office Seeks Retrial of Two Former Barclays Libor Traders,0
Cuadrilla files to delay application to frack in Lancashire,1
GlaxoSmithKline hails progress with lung disease treatment,3
Morrisons escapes FTSE relegation,2
ITV Acquires 'Poldark' Production Company Mammoth Screen,2
RPT-UPDATE 2-Former Jefferies trader Litvak's conviction overturned,2
Tesco Sales Deteriorate Ahead of Crucial Christmas Period,1
"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools",0
Tesco sells Blinkbox and broadband service to TalkTalk,2
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",3
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,3
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,4
GSK reveals strong trial results for shingles drug,3
Experian says receives class actions related to T-Mobile breach,0
Shell shells out over Nigeria oil spill,1
Tesco to pay $12 million to settle US lawsuit,1
"FTSE 100 moves lower, but HSBC outperforms",3
Meggitt share price tumbles as profit falls in 'challenging year',0
BG Group Still Happy With Shell's $70 Billion Offer,3
AB InBev attacks SABMiller bid rebuffal,2
Aberdeen to raise 100 mln stg to seed new funds,3
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,1
The Latest: Buffett says cuts will pay off at Kraft Heinz,3
Glencore Studies Possible IPO for Agricultural Trading Business,3
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",3
Gabon Considering Back Tax Penalties Against Royal Dutch Shell,1
"Barclays picks ex-JPMorgan exec Staley as new CEO, to start Dec 1",2
Insight hires Aviva's David Hillier for multi-asset team,2
Struggling Morrisons pays out Â£3m to sacked boss Dalton Philips â€“ with more to ...,1
Government to sell off remaining 14% stake in Royal Mail,0
United Utilities' full-year underlying operating profit falls 9 percent,1
Tesco to close remaining Homeplus stores in UK,1
CEO of Berkshire's Gen Re to retire; Jain's role grows,2
Morning Agenda: Shire's Deal for NPS,2
WPP boosts sales despite cautious clients,3
"Britain's FTSE rises, led up by Glencore surge",4
Brewer AB InBev seeks $275 bln tie-up with SABMiller,3
Tesco shareholders back ITV head for chairman,2
Kingfisher takeover of Mr Bricolage could hit a brick wall,1
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,4
"UPDATE 2-Prudential will see strong first-half earnings, outgoing CEO says",3
Shell challenges Exxon dominance with 47 billion-pound bid for BG,3
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,2
"GlaxoSmithKline heart drug flops in study, shingles vaccine on track",1
ICE Said to Start Lining Up Financing for LSE Bidding War,3
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",3
Lloyds sells Irish loan portfolio for Â£827m,2
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,1
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,3
BHP's iron ore outlook holds little cheer for small miners,1
Shire share price under pressure after $32bn Baxalta deal,2
PRESS: Pearson Set To Announce Sale Of Financial Times - Reuters,2
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,3
"Five years after BP oil spill, some Gulf oystermen are losing hope",1
Walmart still selling Maryland T-shirts featuring the outline of Massachusetts,2
"GlaxoSmithKline beats profit forecasts despite Advair hit, lower margins",3
Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,2
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,2
Tesco's Sales Pickup Isn't Enough,1
RBS chairman admits surprise at size of regulatory penalties,1
Persimmon sells 17% more houses in 2014,4
CRH's concrete bid for Holcim Lafarge assets,3
ITV strike: Broadcaster's revenue soars but staff walkout for a piece of the action,3
McEwan will be nursing RBS through more struggles yet,1
Arm profits and sales up as shift away from mobile gains pace,3
Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle,3
Land Securities warns of rent rises,2
Glencore shares hit 3-month high after refinancing key credit line,3
RBS becomes a shadow of its former self,0
Sir Ken Morrison has taken a Â£6m stake in rival Sainsbury's,3
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,3
UPDATE 1-Pearson expects to grow this year after solid end to 2014,3
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,3
Market Report: Aviva tops the market as traders approve of its choice of Friends,3
Admiral and Schroders lift FTSE with profits surge,4
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,3
UK's FTSE hits new record highs as CRH climbs,3
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,3
Shell share price: Standard Life announce position against BG acquisition,2
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,3
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",3
MarketsMoneysupermarket slides 11% on Barclays Brexit warning,0
"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",2
Can Christmas Save Sainsbury's plc And Tesco plc?,2
HSBC Says Unit to Book $585 Million Charge on Settlement,1
FTSE boosted by Dixons Carphone with Fed in focus,3
Standard Life impresses as fee-based products offset annuities slump,3
CompaniesHome Retail trims gains but is considered 'in play',2
Intertek Group announces strategic update outlining its plan,2
Valeant CEO Pledges to Heed Critics After `Painful' Experience,1
Industry NewsHammerson joint venture buys Dublin loan portfolio,3
AstraZeneca sells Caprelsa rights to Sanofi unit,3
Greenpeace Protest of BP Forces British Museum to Close,1
"L&G fund arm, Nikko Asset Management sign bond fund distribution deal",3
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,3
"Insight - Britain's bank tax jump threatens to push HSBC, StanChart to new home",2
Royal Mail chairman Donald Brydon set to step down,1
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,3
Prudential shares halted in Hong Kong pending announcement,1
"CompaniesPound to boost ABF for now, but mixed impact ahead",3
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",3
AstraZeneca chases Acerta to secure next cancer drug winner,4
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",2
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,3
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,3
Payout from BP oil spill settlement tops $5 billion,0
RSA Insurance Hires Towergate's Egan as Chief Financial Officer,2
"Berkshire Bought Apple Stake at $99.49 a Share, Filing Shows",3
Sainsbury's and Glencore give FTSE a three-digit lift - London Report,4
BHP Billiton drags FTSE lower after slashing dividend,0
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,2
Unilever returns to Cuba in joint venture with state,3
Deals Help Shrink Glencore's Mountain of Debt,2
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",3
British taxpayers' stake in Lloyds falls below 22 percent,1
Fears Primark growth is starting to falter,1
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",4
Royal Bank of Scotland becomes Facebook customer,3
MOVES-Ex-shadow minister McClymont joins Aberdeen Asset Management,2
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",3
Morrisons and Debenhams surprise City with Christmas bounce back,4
"FTSE ends lower on weaker miners, Tesco outperforms",3
CompaniesCoutts raids JPMorgan Chase for new CEO,2
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,3
Tesco share price down as grocer faces SFO investigation outcome,1
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",3
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",2
AstraZeneca share price: Acerta deal pays off with orphan drug status,3
Cost savings help Robinsons maker Britvic to first-half profit,3
CompaniesTesco sends supermarket shares to top of FTSE,3
"Diageo, Heineken Exchange Emerging-Market Brewing Assets",2
Protesters gather in Seattle to block access to Shell oil rig,1
Passengers rise at EasyJet and Aer Lingus,3
Intertek profit up 16.1%; expects to meet forecast,4
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",1
Tesco's boss knows which side his bread is buttered,2
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,1
GSK hopes big clinical trial can breath new life into lung drug,2
UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,2
Standard Chartered CEO Peter Sands to Resign After Unrest at Bank,1
Industry NewsStrong results at Travis Perkins marred by plumbing impairment,2
Mongolia and Rio Tinto agree $5bn Oyu Tolgoi mine expansion,3
AstraZeneca to Buy ZS Pharma for $2.7 Billion,3
"Aviva plans to up pay-out ratio, says too soon to judge Brexit impact",2
Reluctant shareholder George Osborne loses patience with RBS,1
Cuadrilla and protesters await Lancashire fracking decision,2
Currency causes full-year headaches for SABMiller,1
Beach holiday demand helps lift clouds for easyJet,3
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,3
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,1
"StanChart announces $5.1 billion capital-raising plan, posts Q3 loss",1
BT Group's third quarter revenues rise as restructure unveiled,3
SSE share price: Peterhead station to supply voltage support to National Grid,3
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,2
Berkshire seeks to boost its Wells Fargo stake above 10 percent,3
AstraZeneca's patent on asthma drug invalidated by US court,0
Lloyds Bank Is Said to Face Potential Fine Over Handling of Insurance Complaints,1
Goodwin not to face Scottish prosecution over RBS,2
TOP NEWS: Barclays Profit Depressed By Foreign Exchange Provisions,1
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,2
"Glencore 2014 profit in line, takes $1.1 billion charge on commodity prices",2
Morrisons share price: Group trading director departs as management cull ...,2
Lloyds returns Â£13bn to UK taxpayer,2
Weir leads FTSE lower after oil price profits warning,1
Retail focus helps to shield Lloyds from banking chill,3
UPDATE 1-RBS raising $3.1 billion through issue of CoCo bonds,2
Retailers Kingfisher and Sports Direct rise in Britain's share index,3
UPDATE 1-Rio Tinto to sell aluminium assets in $1 bln deal -paper,3
EasyJet attracts more passengers in June but still lags Ryanair,3
"FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ...",2
Barclays fined for anti-money-laundering failings,0
CORRECTED-Shire to buy Dyax for about $5.9 bln,3
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",1
ITV shares dip after update,1
"Centrica extends gas deals with Gazprom, Statoil",3
Glencore shares enjoy bounce-back after Hong Kong-led surge,3
Ruling sets lower limit on potential fine for BP,1
Sports Direct Shares Tumble as Founder Ashley Sells Shares,1
Shell challenges Exxon dominance with 47 billion-pound bid for BG,2
Diageo receives reports from United Spirits on financial irregularities involving ...,1
Credit checker Experian reports fall in full-year profit,1
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,2
Barclays reports 8% fall in annual profits,0
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,3
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),3
Chipotle Sales Plunge as Troubled Chain Gets Federal Subpoena,0
Shell offers 50 percent premium to buy BG for $70 billion,2
Morrisons share price: Founder's son to assist CEO with turnaround,2
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,3
Sainsbury sells unit to LloydsPharmacy,3
Former Barclays traders stand trial in Libor case,1
Tesco share price jumps as Q3 sales top estimates,4
"South Africa approves SABMiller, Coke bottling deal with conditions",3
CompaniesActelion shares hit record on Shire takeover talk,3
UPDATE: Aggreko Interim Profit Drops As It Undertakes Restructuring,1
"HSBC, Standard Chartered Lead Asia Bank Rout as U.K. Votes 'Out'",1
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,0
Standard Chartered Misses Estimates in Sands's Last Results,1
"HSBC shakes up board with two new business chiefs, three departures",2
Britain's FTSE slips from 2016 high as Sky falls,1
BHP Billiton to lower copper production costs,3
Glencore Sells Shares to Raise $2.5 Billion and Reduce Debt,3
CompaniesSmith & Nephew flops 6.8% to foot of FTSE 100,0
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",2
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,3
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,1
BP Judge Urged to Impose $11.7 Billion-Plus Spill Fine,1
RBI surprises Street; Sensex pares gains after hitting mount 30k,4
"Royal Mail needs to deliver on modernisation plans, post haste",2
Barclays CEO poaches risk head from JP Morgan,2
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",1
Clydesdale Bank H1 profits weighed down by PPI charge,1
UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,3
CompaniesDeutsche taps ex-StanChart executive for audit role,2
Cuadrilla chief Francis Egan: Scaremongering fracking opponents make me angry,2
Investors Remain Skeptical About Shell-BG Deal,1
Amazon to attack UK grocery market with Morrisons deal,3
Glencore tells investors it is on track to reduce debt: Barclays,3
UPDATE 3-Barclays fined for lax crime checks in 'deal of century',0
Prudential hit by withdrawals from M&G investment arm,0
Old Mutual faces backlash over Â£9m chief exec payout plan,1
Barclays backs new iPhone and Android app that lets users send each other money using a bitcoin network,2
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,2
Lloyds to cut 945 jobs as part of three-year restructuring strategy,1
CommentOpening Quote: Tesco; Premier Foods jilted; FCA on IPOs,2
Investor Woodford calls for outsider to head GlaxoSmithKline,2
Randgold Resources third quarter profit slips despite record production,1
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",2
UPDATE 1-UK to start selling remaining Royal Mail shares,1
Companies Thetrainline.com announces arrival of London IPO,3
Hargreaves weathers torrid ISA season and Brexit fears,1
PRESS: UK Government Would Oppose Any BP Takeover - FT,2
"Britain's FTSE gains, Land Securities up after dividend hike",3
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,3
What It Takes for Royal Dutch Shell to Break Even,2
Industry NewsPetrofac secures $250m North Sea contract,3
"Lloyds Will Cut 640 Jobs, Close 23 Branches as Part of 2014 Plan",3
Royal Mail turnaround proving expensive in tough UK market,2
IHG agrees $938 sale of InterContinental Hong Kong,3
Barclays Said to Shrink Bonus Pool to Less Than 2 Billion Pounds,3
Shire Offers to Buy Baxalta for $30 Billion,3
Crown Castle buys Tower Development Corp for $461 million,3
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,3
Norway's sovereign wealth fund says backed Shell CEO's pay,2
MarketsProperty stocks under pressure after Standard Life fund move,1
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,1
BP's fine for 2010 oil spill capped at $13.7 billion,0
Oilfield services firm Petrofac's debt shoots up 50 per cent,0
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,3
FTSE 100 movers: BG Group leads the charge as resource stocks jump,4
Spain's CaixaBank Expects To Close Deal For Banco BPI,3
Royal Mail share price: Postal service issues trading update,2
Barclays Said to Cut 150 at Investment Bank as McCormick Departs,1
Glencore fight back over debt fears lifts shares,3
SAB's Chairman Digs In With Board Divided on InBev Offer,2
Britain facing winter of blackouts as National Grid warns of tightest power ...,1
AB InBev approaches SABMiller to explore $250bn tie-up,3
Barclays launches first 100% mortgages since crisis,2
Germanwings disaster will not affect image of budget air travel - easyJet,2
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",0
"After Barclays and Bank of America, Citigroup has blockchain in sight",2
Early victory for new CEO as Morrisons beats forecasts,4
Barclays said to be cutting 150 investment bank jobs,1
Shell challenges Exxon dominance with 47 billion-pound bid for BG,2
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",2
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,3
Unilever Finds Growth More Elusive as Sales Meet Estimates,3
Primark racks up a happy Christmas after strong sales,4
New York says Barclays not cooperating in 'dark pool' probe,1
"FDA approves NPS drug, in move validating Shire takeover deal",3
Royal Mail share price edges lower as group raises stamp price,1
Sainsbury's and Glencore give FTSE a three-digit lift - London Report,4
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,1
Tata Steel working with StanChart for UK unit sale - source,3
Diageo offloads major wine interests,1
Glencore Agrees to Sell Minority Stake in Agriculture Business,3
Diageo sells wine businesses for 320m pounds,3
Breakingviews: IAG can pay more for Aer Lingus,2
UPDATE 1-UK government would oppose any takeover of BP -FT,2
Australian mining slowdown hits Aggreko,1
The sustainability of Royal Dutch Shell's dividend,2
CompaniesCoutts raids JPMorgan Chase for new CEO,2
Easyjet traffic hit by air traffic controller strikes and terrorism,1
Dixons Carphone says cyber attack may have exposed customers' data,0
Stars aligned' for AB InBev's megabrew merger plan,3
AstraZeneca's Good Deal Turns Bad,1
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,1
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",3
Primark plots expansion in US and Europe,3
BP shares tumble after $2.2bn fourth-quarter loss,0
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,1
Berkshire Hathaway's 4Q profit declines 17 percent,0
Ex-Barclays traders sentenced to up to six years' jail in Libor case,0
BP slashes capital spending by 20%,1
Shell's profits hit by further slide in oil prices,0
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,3
Stars aligned' for AB InBev's megabrew merger plan,3
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,3
Lloyds is cutting more than 600 jobs and shutting 21 branches,1
Can BP Restore Its Lost Luster?,1
"Britain's FTSE steadies below record high, BHP gains",3
"Insight - Britain's bank tax jump threatens to push HSBC, StanChart to new home",1
"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?",2
Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder,3
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,1
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,3
Breakingviews: IAG can pay more for Aer Lingus,3
InterContinental Hotels denies exploring sale or merger,2
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,3
Hargreaves Lansdown says first-quarter assets hit by stock market flux,1
Aviva Expects 1500 Jobs Cuts from Friends Life Deal,3
CompaniesThiam received Â£5m pay packet for final months at Prudential,2
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn",1
Royal Dutch Shell Posts Rise in Earnings Despite Lower Oil Prices,3
Shell to Go Ahead With Petrochemical Plant in Pennsylvania,3
AB InBev approaches SABMiller to explore $250bn tie-up,3
Sugar tax spurs Pepsi owner Britvic to change drinks recipes by 2020,2
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,2
CompaniesPhilips transfers $900m of pension obligations,3
Barclays in $13.75 million US settlement over mutual funds,1
Standard Life stands tall amid pension reform,3
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,3
Shire to buy NPS for $5.2 billion to boost rare disease drugs,3
Shell profit rises as company resist oil slump,3
FTSE ends higher; 3i Group leads after strong earnings,3
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",1
Companies Severn Trent expects costs hit from inflation,1
Glencore blames rivals for creating metals glut,1
U.K. Shares Extend Rebound for Second Day as EasyJet Surges,3
PRESS: Pearson Set To Announce Sale Of Financial Times - Reuters,2
Tesco shares jump 6% after Christmas sales beat expectations,4
"CompaniesNew Aggreko CEO to reshape business, strip costs",2
Verizon and AT&T accused of hurting rivals,1
Exclusive - Britain targets sale of half its RBS stake in two years: sources,1
U.S. Debt Lures Schroders as ECB Depresses Rates,2
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",3
InterContinental Hotels Denies Reports of Starwood Merger Talks,2
Standard Chartered faces fresh claims of Iran sanctions violations,1
Shire in talks with Baxalta shareholders,2
"SSE to Shut Coal-Fired Plant Amid Shift to Gas, Renewable Energy",2
Sharm el Sheikh: EasyJet axes all flights to Egypt's leading holiday resort,1
"UPDATE 1-Norway's Statoil shakes up top management, replaces CFO",2
Relief for Lewis as Tesco sees sales grow for first time in a year,3
Clydesdale and Yorkshire moves closer to independence,3
"European stocks hover near 3-week low, Dialog and BHP slump",1
Dave Lewis admits long road ahead for Tesco recovery,1
Tesco leads FTSE higher on Clubcard bid reports,3
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,3
Admiral Group posts decline in 2014 earnings,1
"Britain's FTSE bounces back, Mondi and Barratt lead",3
UPDATE 3-Barclays sells Italian branches to Mediobanca at a loss,3
Morrisons finance chief to fill gap as CEO leaves early,2
Sophos aims to raise $100m in London IPO,3
UK chip designer ARM hits a high after iPhone 6 boost,4
Wolseley share price: Group updates on quarterly performance,2
Rio Tinto announces long-delayed expansion of Mongolia mine,3
